Food,Associativity,Energy(kcal) per 100g,Proteins per 100g,Carbohydrates per 100g,Fats per 100g,Fiber per 100g,Carbon Footprint(kg CO2e) per 100g,Region_ Continental,Region_Continental,"Region_Continental,North,South,East,West",Region_East,Region_North ,"Region_North, South","Region_North, West","Region_North,East,West","Region_North,East,West,South","Region_North,South","Region_North,South,East","Region_North,South,East,West","Region_North,South,East,West,Continental","Region_North,South,East,west","Region_North,South,West","Region_North,West","Region_North,West,East","Region_North,West,East,South","Region_North,West,South",Region_South,Region_South ,"Region_South,East,West",Region_West,"Region_West,East",Type_Appetizer,"Type_Appetizer,Snacks",Type_Beverages,Type_Breakfast,"Type_Breakfast,Lunch","Type_Breakfast,Lunch,Dinner","Type_Breakfast,Snacks",Type_Dinner,Type_Dry Curry,"Type_Dry Curry, Gravy",Type_Gravy,Type_Lunch,Type_Lunch ,"Type_Lunch,Dinner","Type_Lunch,Dinner,Breakfast","Type_Lunch,Dinner,Snacks",Type_Snacks,"Type_Snacks,Appetizer","Type_Snacks,Breakfast",Category_Eggetarian,Category_Non-veg,Category_Veg,allergy_cinnamon,allergy_egg,allergy_nightshade,allergy_mushroom,allergy_chickpea_.,allergy_nut,allergy_seafood,allergy_dairy,allergy_sesame,allergy_pork,allergy_fish,allergy_caffeine,allergy_peanut,allergy_rice,allergy_garlic,allergy_citrus,allergy_onion,allergy_gluten,allergy_shellfish,allergy_soy,allergy_legume
Soya flour Gobi stuffed paratha,1,59.796437659033074,4.071246819338422,6.106870229007633,1.7811704834605597,2.035623409669211,0.10038167938931299,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DUMPLINGS (Veg),0,45.09803921568628,1.5686274509803921,8.627450980392156,0.39215686274509803,1.5686274509803921,0.1017843137254902,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Baked Vegetables,0,20.481927710843372,0.0,1.2048192771084338,1.2048192771084338,0.0,0.19084337349397593,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LETTUCE WRAP (Chicken),0,57.994579945799465,5.420054200542006,2.710027100271003,2.4390243902439024,1.084010840108401,0.1896612466124661,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Soya Sizzler,6,53.79188712522046,4.938271604938271,3.7037037037037033,1.763668430335097,1.5873015873015872,0.11604938271604938,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Fried Rice,5,191.96581196581198,5.299145299145299,34.7008547008547,3.076923076923077,3.7606837606837606,0.22742735042735043,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Soy Milk,12,259.2,26.400000000000002,7.199999999999999,13.600000000000001,15.2,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Soya Bhurji,2,41.19402985074627,4.179104477611941,2.9850746268656714,1.1940298507462688,1.1940298507462688,0.1562686567164179,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Chicken sizzler,0,35.70487483530962,1.185770750988142,2.503293807641634,2.371541501976284,1.7127799736495388,0.325197628458498,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Rajma Chaat,11,160.64139941690962,10.495626822157435,27.405247813411076,0.5830903790087464,0.5830903790087464,0.08644314868804664,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Saute Tofu,0,67.86632390745501,5.655526992287918,4.370179948586118,2.313624678663239,1.7994858611825193,0.19395886889460154,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CHILLI CHICKEN,6,79.67914438502673,4.27807486631016,2.6737967914438503,5.347593582887701,0.8021390374331552,0.22025401069518716,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Soya granules,2,105.07936507936509,6.666666666666667,13.333333333333334,2.857142857142857,6.031746031746032,0.14761904761904762,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Chicken Rice,5,83.41232227488152,3.5545023696682465,12.085308056872037,2.3696682464454977,0.47393364928909953,0.37298578199052135,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Gravy tofu,2,84.96621621621621,3.040540540540541,3.7162162162162162,5.912162162162162,1.1824324324324325,0.2661570945945946,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Masala Tofu,2,46.05678233438486,3.1545741324921135,4.73186119873817,1.2618296529968454,1.5772870662460567,0.2103154574132492,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Soya Roti Roll (Broccoli & Tofu),0,125.0,8.181818181818182,6.136363636363637,7.5,2.727272727272727,0.19039772727272727,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
